episode,total_episodes,model_type,epsilon,per_beta,global_step,training_updates,agents,learning_rate,gamma,avg_reward,avg_queue,throughput,avg_travel_time,episode_co2,co2_per_veh,updates,loss,policy_loss,value_loss,time_of_day,global_congestion
1,250,GAT-DQN,0.9953567058823529,0.4,300,0.0,9,0.001,0.99,-0.510462345679012,15.726574074074076,467,61.44325481798715,98885339.53557289,211745.90906974924,0.0,0.0,0.0,0.0,0.0,0.0
2,250,GAT-DQN,0.9906978823529412,0.4024096385542169,600,0.0,9,0.001,0.99,-0.5880833333333331,18.12138888888889,426,52.575117370892016,102434502.27752756,240456.57811626187,0.0,0.0,0.0,0.0,0.0,0.0
3,250,GAT-DQN,0.9860390588235294,0.40481927710843374,900,0.0,9,0.001,0.99,-0.5269475308641978,16.21185185185185,456,50.32236842105263,93883327.16457449,205884.48939599667,0.0,0.0,0.0,0.0,0.0,0.0
4,250,GAT-DQN,0.9813802352941177,0.4072289156626506,1200,201.0,9,0.001,0.99,-0.6033401234567898,18.613425925925927,422,49.91469194312796,97012059.62146051,229886.3972072524,201.0,0.00591110829518765,0.0,0.0,0.0,0.0
5,250,GAT-DQN,0.9767214117647058,0.4096385542168675,1500,300.0,9,0.001,0.99,-0.5780055555555556,17.925462962962964,403,51.77171215880893,96450754.6060972,239331.897285601,300.0,0.004295118439864988,0.0,0.0,0.0,0.0
6,250,GAT-DQN,0.9720625882352941,0.41204819277108434,1800,300.0,9,0.001,0.99,-0.6175660493827163,19.22638888888889,444,55.486486486486484,102205467.57547109,230192.4945393493,300.0,0.012889916953475525,0.0,0.0,0.0,0.0
7,250,GAT-DQN,0.9674037647058824,0.41445783132530123,2100,300.0,9,0.001,0.99,-0.5049833333333331,15.575925925925924,455,57.668131868131866,91519388.97594039,201141.51423283602,300.0,0.015851446978437402,0.0,0.0,0.0,0.0
8,250,GAT-DQN,0.9627449411764706,0.4168674698795181,2400,300.0,9,0.001,0.99,-0.42384012345679,13.165833333333333,499,57.31462925851704,82023849.16354328,164376.45122954567,300.0,0.022844731816245863,0.0,0.0,0.0,0.0
9,250,GAT-DQN,0.9580861176470589,0.41927710843373495,2700,300.0,9,0.001,0.99,-0.439101234567901,13.598333333333333,497,59.36016096579477,90393480.56974708,181878.23052262992,300.0,0.031530194747416924,0.0,0.0,0.0,0.0
10,250,GAT-DQN,0.953427294117647,0.42168674698795183,3000,300.0,9,0.001,0.99,-0.49820925925925946,15.46212962962963,437,52.878718535469105,96941947.92704575,221835.12111452117,300.0,0.040486436664747695,0.0,0.0,0.0,0.0
11,250,GAT-DQN,0.9487684705882353,0.4240963855421687,3300,300.0,9,0.001,0.99,-0.61903024691358,19.098518518518517,510,64.86274509803921,112772549.36948848,221122.64582252642,300.0,0.03856147846672684,0.0,0.0,0.0,0.0
12,250,GAT-DQN,0.9441096470588235,0.42650602409638555,3600,300.0,9,0.001,0.99,-0.6284388888888889,19.363240740740743,413,50.43583535108959,104038265.23591748,251908.63253248786,300.0,0.07258906404487789,0.0,0.0,0.0,0.0
13,250,GAT-DQN,0.9394508235294118,0.42891566265060244,3900,300.0,9,0.001,0.99,-0.46899382716049387,14.472870370370371,483,58.010351966873706,93902122.83126083,194414.33298397687,300.0,0.07134687203603486,0.0,0.0,0.0,0.0
14,250,GAT-DQN,0.934792,0.43132530120481927,4200,300.0,9,0.001,0.99,-0.522956172839506,16.165370370370372,445,57.566292134831464,100551309.34824125,225957.9985353736,300.0,0.06796306057833135,0.0,0.0,0.0,0.0
15,250,GAT-DQN,0.9301331764705882,0.43373493975903615,4500,300.0,9,0.001,0.99,-0.5721117283950623,17.673981481481484,436,51.41284403669725,104378311.44436719,239399.7968907504,300.0,0.07659318082345029,0.0,0.0,0.0,0.0
16,250,GAT-DQN,0.9254743529411764,0.43614457831325304,4800,300.0,9,0.001,0.99,-0.5723283950617286,17.664444444444445,475,61.96421052631579,108018943.25325613,227408.30158580237,300.0,0.0855753770036002,0.0,0.0,0.0,0.0
17,250,GAT-DQN,0.9208155294117647,0.43855421686746987,5100,300.0,9,0.001,0.99,-0.5071537037037039,15.691018518518522,419,51.59665871121718,90125039.37142017,215095.55935899803,300.0,0.1168444222336014,0.0,0.0,0.0,0.0
18,250,GAT-DQN,0.916156705882353,0.44096385542168676,5400,300.0,9,0.001,0.99,-0.49222469135802477,15.279166666666667,505,59.29108910891089,98170396.21010333,194396.82417842245,300.0,0.11586397709324955,0.0,0.0,0.0,0.0
19,250,GAT-DQN,0.9114978823529412,0.44337349397590364,5700,300.0,9,0.001,0.99,-0.5141129629629634,15.873981481481481,488,60.38729508196721,97152238.74349709,199082.4564415924,300.0,0.12139595157777269,0.0,0.0,0.0,0.0
20,250,GAT-DQN,0.9068390588235294,0.44578313253012053,6000,300.0,9,0.001,0.99,-0.6056308641975314,18.715,409,50.488997555012226,101760426.93762128,248802.99984748478,300.0,0.12189172150567174,0.0,0.0,0.0,0.0
21,250,GAT-DQN,0.9021802352941176,0.44819277108433736,6300,300.0,9,0.001,0.99,-0.5744679012345683,17.746574074074076,436,53.00917431192661,103943600.47364964,238402.75337993036,300.0,0.15027118127172193,0.0,0.0,0.0,0.0
22,250,GAT-DQN,0.8975214117647059,0.45060240963855425,6600,300.0,9,0.001,0.99,-0.46972716049382685,14.538333333333334,508,57.31692913385827,98247497.6919216,193400.58600771968,300.0,0.16008323744560282,0.0,0.0,0.0,0.0
23,250,GAT-DQN,0.8928625882352941,0.4530120481927711,6900,300.0,9,0.001,0.99,-0.5667950617283952,17.437685185185185,508,56.95866141732284,106614093.01391704,209870.2618384194,300.0,0.16867103469247618,0.0,0.0,0.0,0.0
24,250,GAT-DQN,0.8882037647058824,0.45542168674698796,7200,300.0,9,0.001,0.99,-0.4536123456790122,14.057407407407409,491,56.16700610997963,86432182.06498253,176032.9573624899,300.0,0.19405441964666048,0.0,0.0,0.0,0.0
25,250,GAT-DQN,0.8835449411764706,0.45783132530120485,7500,300.0,9,0.001,0.99,-0.5355030864197533,16.608888888888888,509,56.086444007858546,104563964.98573627,205430.18661244845,300.0,0.21491542293379703,0.0,0.0,0.0,0.0
26,250,GAT-DQN,0.8788861176470588,0.4602409638554217,7800,300.0,9,0.001,0.99,-0.42632962962962945,13.182407407407409,525,54.81333333333333,89864453.32031482,171170.38727679013,300.0,0.16084680302689472,0.0,0.0,0.0,0.0
27,250,GAT-DQN,0.874227294117647,0.46265060240963857,8100,300.0,9,0.001,0.99,-0.4675641975308642,14.538518518518522,481,58.53846153846154,91351469.11975953,189919.8942198743,300.0,0.17591110958407322,0.0,0.0,0.0,0.0
