episode,total_episodes,model_type,epsilon,per_beta,global_step,training_updates,agents,learning_rate,gamma,avg_reward,avg_queue,throughput,avg_travel_time,episode_co2,co2_per_veh,updates,loss,policy_loss,value_loss,time_of_day,global_congestion
48,250,GAT-DQN,0.776392,0.5132530120481927,14400,300.0,9,0.001,0.99,-0.7054360772678585,18.79,401,50.576059850374065,95233870.43116082,237490.94870613673,300.0,0.4233091467122237,0.0,0.0,0.0,0.0
49,250,GAT-DQN,0.7717331764705883,0.5156626506024097,14700,300.0,9,0.001,0.99,-0.7008582784599464,16.36740740740741,454,55.28193832599119,94615867.59209293,208404.99469623994,300.0,0.39715379844109217,0.0,0.0,0.0,0.0
50,250,GAT-DQN,0.7670743529411764,0.5180722891566265,15000,300.0,9,0.001,0.99,-0.8065809096738685,18.42314814814815,487,61.616016427104725,108888422.80597231,223590.19056667824,300.0,0.41419551563759643,0.0,0.0,0.0,0.0
51,250,GAT-DQN,0.7624155294117647,0.5204819277108435,15300,300.0,9,0.001,0.99,-0.7222401952439579,16.281203703703703,485,60.35257731958763,97502426.35793413,201035.93063491574,300.0,0.35671992470820746,0.0,0.0,0.0,0.0
52,250,GAT-DQN,0.7577567058823529,0.5228915662650603,15600,300.0,9,0.001,0.99,-0.7120273307922439,14.901944444444444,467,54.88222698072805,96123689.6569528,205832.3118992565,300.0,0.38518152547379336,0.0,0.0,0.0,0.0
53,250,GAT-DQN,0.7530978823529412,0.5253012048192771,15900,300.0,9,0.001,0.99,-0.7019229442070172,18.128611111111113,378,48.47089947089947,94759597.46794733,250686.76578822045,300.0,0.4127225239078204,0.0,0.0,0.0,0.0
54,250,GAT-DQN,0.7484390588235295,0.527710843373494,16200,300.0,9,0.001,0.99,-0.7334070286679434,15.748055555555554,488,58.65983606557377,99009948.8701724,202889.2394880582,300.0,0.3822790621469418,0.0,0.0,0.0,0.0
55,250,GAT-DQN,0.7437802352941176,0.5301204819277109,16500,300.0,9,0.001,0.99,-0.7416788487202873,17.556388888888886,455,59.105494505494505,100126644.57723884,220058.55951041504,300.0,0.4125627633432547,0.0,0.0,0.0,0.0
56,250,GAT-DQN,0.7391214117647058,0.5325301204819277,16800,300.0,9,0.001,0.99,-0.702113477740836,16.377037037037038,412,49.46116504854369,94785319.495013,230061.455084983,300.0,0.30187769514818985,0.0,0.0,0.0,0.0
57,250,GAT-DQN,0.7344625882352942,0.5349397590361447,17100,300.0,9,0.001,0.99,-0.6722835876320087,13.865740740740739,474,56.561181434599156,90758284.33032106,191473.17369266046,300.0,0.45821246445178987,0.0,0.0,0.0,0.0
58,250,GAT-DQN,0.7298037647058824,0.5373493975903615,17400,300.0,9,0.001,0.99,-0.721108597529884,15.759629629629629,477,61.075471698113205,97349660.66653447,204087.33892355234,300.0,0.5082389760762454,0.0,0.0,0.0,0.0
